Crop,Top_State,Total_Production
Arecanut,Karnataka,34451742
Arhar/Tur,Maharashtra,19846220
Bajra,Uttar Pradesh,33447486
Banana,Tamil Nadu,72630447
Barley,Uttar Pradesh,10797383
Black pepper,Kerala,1157005
Cardamom,Kerala,212950
Cashewnut,Kerala,1061781
Castor seed,Gujarat,21632374
Coconut ,Kerala,129607125000
Coriander,Madhya Pradesh,2683870
Cotton(lint),Gujarat,143260549
Cowpea(Lobia),Karnataka,311061
Dry chillies,Andhra Pradesh,15223056
Garlic,Madhya Pradesh,11508607
Ginger,Karnataka,8769372
Gram,Madhya Pradesh,62526403
Groundnut,Gujarat,60515051
Guar seed,Tamil Nadu,3514258
Horse-gram,Karnataka,2517542
Jowar,Maharashtra,72148950
Jute,West Bengal,185763139
Khesari,Chhattisgarh,4167275
Linseed,Madhya Pradesh,1333361
Maize,Karnataka,69082846
Masoor,Uttar Pradesh,8402451
Mesta,Andhra Pradesh,6875175
Moong(Green Gram),Maharashtra,5418811
Moth,Uttar Pradesh,572134
Niger seed,West Bengal,38725317
Oilseeds total,Andhra Pradesh,12948543
Onion,Madhya Pradesh,29442632
Other  Rabi pulses,Madhya Pradesh,2222148
Other Cereals,Uttarakhand,526481
Other Kharif pulses,Maharashtra,1221850
Other Summer Pulses,Maharashtra,8308
Peas & beans (Pulses),Uttar Pradesh,8391792
Potato,Uttar Pradesh,267988206
Ragi,Karnataka,28625932
Rapeseed &Mustard,Haryana,17622900
Rice,West Bengal,338984869
Safflower,Maharashtra,2076241
Sannhamp,West Bengal,121849
Sesamum,West Bengal,3540287
Small millets,Maharashtra,5480506
Soyabean,Madhya Pradesh,117802045
Sugarcane,Uttar Pradesh,3062485896
Sunflower,Karnataka,6127046
Sweet potato,Uttar Pradesh,3449574
Tapioca,Tamil Nadu,67400406
Tobacco,Andhra Pradesh,10914747
Turmeric,Tamil Nadu,2579682
Urad,Madhya Pradesh,7787876
Wheat,Uttar Pradesh,643820578
other oilseeds,Andhra Pradesh,9648964
